superkingdom,phylum,class,order,family,genus,species,tax_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Dominikia,Dominikia sp.4,225,0.096714949,0.017002957,0.009812374,,0.003395289,0.014300743,0.006678552,0.011005269,0.008226953,0.013959757,0.011587774,0.0033258,0.013561981,0.008625398,0.013852541,0.01544571,0.004452829,0.009397809,0.006157672,0.014906035
Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Dominikia,Dominikia sp.5,8,0.004431603,0.001418305,0.019008425,0.011528305,0.001242344,0.001162231,0.012913171,0.016347516,0.008532296,0.017941977,0.012684245,0.003637969,0.003151405,0.008638542,0.006569152,0.008393332,0.005323805,0.015268794,0.012930594,0.005342048
Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Funneliformis,Funneliformis mosseae,117,0.019794003,0.00113978,0.018850302,0.00111531,0.011807074,0.001707421,3.61E-05,0.009460726,0.014354976,0.010553195,0.00108344,0.010731688,0.000655382,0.009658948,0.010986716,0.016093294,0.003451897,0.001116991,0.000462295,0.003230763
Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,UNK,Glomeraceae sp. 1,,,0.146894749,0.380942156,0.217234354,0.302960464,0.282017881,0.35815088,0.108891901,0.309907304,0.270649794,0.404099419,0.001124531,0.510993685,,,0.001356487,0.01548998,0.0247413,0.253323643,0.0423468
Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Kamienskia,Kamienskia bistrata,119,0.010529608,0.012099813,,0.019516929,0.007602281,0.007977103,0.001439006,0.008799266,0.005389881,0.001383688,0.003213975,0.002422884,0.004015295,0.01264577,0.014909258,0.004455234,0.012554684,0.010563321,0.004930286,0.016204757
Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Kamienskia,Kamienskia sp.1,313,0.014551128,0.085961149,0.001882505,0.016337921,0.015805585,0.017103221,0.012991422,0.018930309,0.003521616,0.013287527,0.010022459,0.002195389,0.008713795,0.001815789,0.008459234,0.00920608,0.012591589,0.004913364,0.007520939,0.006251622
Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Rhizophagus ,Rhizophagus clarus,76,0.017521975,0.01786169,0.011403886,0.01759164,0.007632441,0.017138117,0.000647755,0.012503292,0.000141825,0.00495896,0.013643552,0.015726689,0.010210794,0.012210291,0.069772542,0.004645747,0.00089974,0.043886622,0.001726572,0.012667538
Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Rhizophagus ,Rhizophagus fasciculatis,30,0.004992688,0.0354,0.004786903,0.01920235,0.017320812,0.004823595,0.0024924,0.006358417,0.017141371,0.019816745,0.03,0.09567233,0.008928288,0.117174086,0.0711466,0.0789951,0.000674101,0.012064183,0.005455715,0.016177943
Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Rhizophagus ,Rhizophagus intraradices,76,0.019467017,0.001685821,0.00323374,0.009194691,0.000165917,0.009971539,0.005852594,0.03314054,0.013507622,0.017408451,0.013191079,0.074542152,0.009088777,0.016238782,0.06789217,0.015238894,0.2413578,0.01259061,0.013862219,0.097811223
Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Rhizophagus ,Rhizophagus. irregularis,30,0.000678807,0.07421477,0.002542208,0.007997805,0.005937924,0.012556994,0.017847416,0.007476447,0.003381494,0.019030947,0.02333412,0.013149568,0.008820486,0.012094303,0.04223174,0.098874133,0.000817883,0.015094428,0.013494501,0.151130821
Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Rhizophagus ,Rhizophagus proliferus,65,0.007314979,0.08654131,0.007075977,0.004949121,0.005809666,0.016512039,0.017910078,0.001635639,0.012248088,0.002790916,0.01234447,0.022420867,0.003829028,0.02355664,0.2310041,0.029746382,0.004693147,0.103256898,0.007765066,0.08744137
Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Rhizophagus ,Rhizophagus sp. 1,29,0.011759831,0.0645899,,0.000514528,0.006500617,0.011975361,0.014137939,0.014692116,0.008712397,0.014780433,0.01055586,0.041229161,0.010470955,0.06598632,0.0341147,0.011597531,0.010713364,0.010643598,0.002062921,0.016517932
Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Rhizophagus ,Rhizophagus sp. 2,135,0.012762418,0.019428757,0.004533579,0.010986895,0.003739449,0.001324127,0.001237526,0.087433215,0.003435648,0.009817049,0.010971529,0.324671,0.013447886,0.012989871,0.0874464,0.012765512,0.006121399,0.09785217,0.004858566,0.054447131
Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Sclerocystis,Sclerocystis constrictum,130,0.005739467,0.003950008,0.013723954,0.015138045,0.018632035,0.015606591,0.018992298,0.065479531,0.014520526,0.008080542,0.014688832,0.012337822,0.006908707,0.015413215,0.015209521,0.002850166,0.003402633,0.015274158,0.007464871,0.008435125
Fungi,Glomeromycota,Glomeromycetes,Paraglomus,Paraglomeraceae,Paraglomus,Paraglomus bolivianum,306,0.019453646,0.018456042,0.013969547,-0.029683226,-0.122591844,-0.052335071,0.000447481,0.043211457,-0.033824171,-0.061732923,0.205723096,0.056263538,0.048915485,0.193712894,0.078198042,0.063022017,0.104610076,0.190853185,0.337638561,0.065662488
Fungi,Glomeromycota,Glomeromycetes,Paraglomus,Paraglomeraceae,Paraglomus,Paraglomus pernambucanum,307,,0.005258112,0.005256142,0.004644318,0.016169973,0.000885314,0.008979246,0.013919231,0.019958196,0.003015488,0.023364465,0.013049126,0.008283857,0.014450522,0.00792026,0.005684772,0.00078303,0.014829173,0.010235034,0.005791358
,,,,,,unidentifyied,,,0.00036205,0.002714069,0.018114053,0.010127706,0.012619702,0.00403784,0.0144232,0.017073598,0.019055942,0.03341227,0.03,0.006921877,0.010984745,0.002289927,0.01539146,0.008273158,0.002000065,0.001310475,0.013567067
